energy_kev,rate_per_kev_kg_day
15.072072072072071,2.105869519623087e-06
15.17117117117117,2.093995420377073e-06
15.27027027027027,2.082180740907935e-06
15.36936936936937,2.07042521441134e-06
15.468468468468469,2.0587285751712123e-06
15.567567567567568,2.047090558555656e-06
15.666666666666666,2.035510901012905e-06
15.765765765765765,2.023989340067279e-06
15.864864864864865,2.0125256143151553e-06
15.963963963963964,2.0011194634209527e-06
16.063063063063062,1.989770628113144e-06
16.16216216216216,1.978478850180255e-06
16.26126126126126,1.9672438724668984e-06
16.36036036036036,1.956065438869822e-06
16.45945945945946,1.9449432943339545e-06
16.55855855855856,1.9338771848484747e-06
16.65765765765766,1.9228668574429023e-06
16.756756756756758,1.911912060183188e-06
16.855855855855857,1.9010125421678216e-06
16.954954954954957,1.8901680535239593e-06
